@relation 'adult1-weka.filters.unsupervised.attribute.Remove-R3,5-weka.filters.unsupervised.attribute.Discretize-F-B3-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Discretize-F-B3-M-1.0-Rfirst-last'

@attribute age-bin {'\'(-inf-31.5]\'','\'(31.5-43.5]\'','\'(43.5-inf)\''}
@attribute ' workclass' {' State-gov',' Self-emp-not-inc',' Private',' Federal-gov',' Local-gov',' ?',' Self-emp-inc'}
@attribute ' education' {' Bachelors',' HS-grad',' 11th',' Masters',' 9th',' Some-college',' Assoc-acdm',' Assoc-voc',' 7th-8th',' Doctorate',' Prof-school',' 5th-6th',' 10th',' 1st-4th',' Preschool'}
@attribute ' marital-status' {' Never-married',' Married-civ-spouse',' Divorced',' Married-spouse-absent',' Separated',' Married-AF-spouse',' Widowed'}
@attribute ' occupation' {' Adm-clerical',' Exec-managerial',' Handlers-cleaners',' Prof-specialty',' Other-service',' Sales',' Craft-repair',' Transport-moving',' Farming-fishing',' Machine-op-inspct',' Tech-support',' ?',' Protective-serv'}
@attribute ' relationship' {' Not-in-family',' Husband',' Wife',' Own-child',' Unmarried',' Other-relative'}
@attribute ' race' {' White',' Black',' Asian-Pac-Islander',' Amer-Indian-Eskimo',' Other'}
@attribute ' sex' {' Male',' Female'}
@attribute ' capital-gain-bin' {'\'(-inf-704.5]\'','\'(704.5-6238]\'','\'(6238-inf)\''}
@attribute capital-loss-bin {'\'(-inf-670]\'','\'(670-1881.5]\'','\'(1881.5-inf)\''}
@attribute ' hours-per-week-bin' {'\'(-inf-39]\'','\'(39-40.5]\'','\'(40.5-inf)\''}
@attribute ' native-country' {' United-States',' Cuba',' Jamaica',' India',' ?',' Mexico',' South',' Puerto-Rico',' Honduras',' England',' Canada',' Germany',' Iran',' Philippines',' Italy',' Poland',' Columbia'}
@attribute ' gain' {' <=50K',' >50K'}

@data
'\'(-inf-31.5]\'',' Private',' Prof-school',' Never-married',' Prof-specialty',' Not-in-family',' White',' Male','\'(-inf-704.5]\'','\'(-inf-670]\'','\'(40.5-inf)\'',' United-States',' >50K'
'\'(43.5-inf)\'',' State-gov',' HS-grad',' Married-civ-spouse',' Other-service',' Husband',' White',' Male','\'(-inf-704.5]\'','\'(-inf-670]\'','\'(39-40.5]\'',' United-States',' <=50K'
'\'(31.5-43.5]\'',' State-gov',' Some-college',' Never-married',' Adm-clerical',' Not-in-family',' White',' Female','\'(-inf-704.5]\'','\'(-inf-670]\'','\'(-inf-39]\'',' United-States',' <=50K'
'\'(31.5-43.5]\'',' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male','\'(-inf-704.5]\'','\'(-inf-670]\'','\'(40.5-inf)\'',' Iran',' >50K'
'\'(31.5-43.5]\'',' Local-gov',' Masters',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male','\'(-inf-704.5]\'','\'(-inf-670]\'','\'(40.5-inf)\'',' United-States',' >50K'
'\'(-inf-31.5]\'',' Private',' HS-grad',' Never-married',' Transport-moving',' Own-child',' White',' Male','\'(-inf-704.5]\'','\'(-inf-670]\'','\'(39-40.5]\'',' United-States',' <=50K'
'\'(31.5-43.5]\'',' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male','\'(-inf-704.5]\'','\'(-inf-670]\'','\'(39-40.5]\'',' United-States',' >50K'
'\'(31.5-43.5]\'',' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Other-service',' Wife',' White',' Female','\'(-inf-704.5]\'','\'(-inf-670]\'','\'(-inf-39]\'',' United-States',' <=50K'
'\'(-inf-31.5]\'',' State-gov',' Assoc-acdm',' Married-civ-spouse',' Protective-serv',' Husband',' White',' Male','\'(-inf-704.5]\'','\'(-inf-670]\'','\'(40.5-inf)\'',' United-States',' <=50K'
'\'(-inf-31.5]\'',' ?',' Some-college',' Never-married',' ?',' Own-child',' White',' Male','\'(-inf-704.5]\'','\'(-inf-670]\'','\'(-inf-39]\'',' United-States',' <=50K'
'\'(31.5-43.5]\'',' Private',' Some-college',' Divorced',' Craft-repair',' Not-in-family',' White',' Male','\'(-inf-704.5]\'','\'(670-1881.5]\'','\'(39-40.5]\'',' United-States',' <=50K'
'\'(43.5-inf)\'',' Private',' HS-grad',' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male','\'(-inf-704.5]\'','\'(-inf-670]\'','\'(-inf-39]\'',' ?',' <=50K'
'\'(43.5-inf)\'',' Private',' HS-grad',' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male','\'(-inf-704.5]\'','\'(-inf-670]\'','\'(40.5-inf)\'',' United-States',' >50K'
'\'(31.5-43.5]\'',' Private',' HS-grad',' Never-married',' Other-service',' Not-in-family',' White',' Female','\'(-inf-704.5]\'','\'(-inf-670]\'','\'(-inf-39]\'',' United-States',' <=50K'
'\'(31.5-43.5]\'',' Private',' Assoc-acdm',' Married-civ-spouse',' Tech-support',' Husband',' White',' Male','\'(-inf-704.5]\'','\'(1881.5-inf)\'','\'(40.5-inf)\'',' United-States',' >50K'
'\'(43.5-inf)\'',' Private',' HS-grad',' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male','\'(-inf-704.5]\'','\'(-inf-670]\'','\'(39-40.5]\'',' ?',' <=50K'
